,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
85,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.016638194
86,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.016424194
87,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.011920265
88,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.002628422
89,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,0.002172059
90,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.361056991
91,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.000988251
92,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.003959731
93,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.087851994
94,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.095906243
95,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.153746838
96,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.000762551
97,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000229224
98,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.025970708
99,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.001211205
100,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.020607139
101,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.017407767
