,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
43,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68619941358112,0.08237707138221632
44,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68718945614089,0.01678761738463755
45,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68718945614089,0.15318694129871654
46,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68718945614089,0.07451089194686028
47,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68718945614089,0.07198406129975037
48,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68819481840492,0.01629640911165885
49,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68819481840492,0.103702738818706
50,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68819481840492,0.06317644304100624
51,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68819481840492,0.0693264968308381
52,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68920642603281,0.01683060927647227
53,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68920642603281,0.07719482646757996
54,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68920642603281,0.060798470626154226
55,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68920642603281,0.07553486935873999
56,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69022903619047,0.018290056564007746
57,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69022903619047,0.09618926520412262
