,Unnamed: 0,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe,term,wave,samp,zern
46,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,2.0,3.0,4.0,0.001601488148375528
47,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,3.0,3.0,4.0,-0.0013846839879087351
48,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,4.0,3.0,4.0,-0.006657665037140619
49,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,5.0,3.0,4.0,-0.004888366474127364
50,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,6.0,3.0,4.0,-0.000323314760502187
51,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,7.0,3.0,4.0,-0.00015568132777282837
52,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,8.0,3.0,4.0,0.00031463139485139117
53,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,9.0,3.0,4.0,-9.52618710453954e-06
54,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,10.0,3.0,4.0,-0.0001534780178856789
55,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,11.0,3.0,4.0,0.0032510035779260067
